id,name,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,Cluster,label,language
4YZL9RE3YOsxa4JADOw6v2,The Great Heathen Army,0.4,0.00269,0.985,0.00125,0.188,0.506,-7.286,0.0623,200.035,4,4,0,Happy,english
6GJYC6ScOjV619LK7HUrgM,The Grey Man,0.546,7.09E-06,0.976,0.00131,0.0788,0.142,-6.447,0.0948,109.984,2,4,5,Fear,english
1H7scSAILrSvhYCjK8PMHW,Burnout,0.384,0.000211,0.993,0.154,0.0889,0.261,-2.134,0.266,171.968,11,4,0,Happy,english
74pMd2gI5hbtJs4RnSp3ye,Follow the Crossed Line,0.479,9.15E-06,0.993,0.00668,0.244,0.18,-3.505,0.0802,103.99,2,1,5,Fear,english
6bcIyAwnUIF34YelBWqMrS,L'amour est bleu - Mellow Version,0.556,0.0248,0.675,0.0016,0.144,0.357,-5.169,0.0238,105.024,7,4,5,Fear,english
2tgX2ZvbV9c8zdAalS1ige,Save The Castle Screw The Princess,0.321,4.76E-05,0.986,0.439,0.276,0.251,-2.262,0.23,129.857,0,4,0,Happy,english
5AwPKmL7iKaHJkvUNliiUn,Swallow the Flames,0.288,7.19E-05,0.988,0.606,0.0785,0.205,-1.374,0.0998,106.644,11,4,4,Disgust,english
38dVRTsxBhJl2yTbSAyuya,Pity the Sadness,0.28,0.00728,0.98,0.606,0.152,0.0662,-8.968,0.0859,122.891,7,4,4,Disgust,english
4PLTg9CoKRCzXP1ViIK9HU,Baby Buster,0.277,0.000802,0.958,0.023,0.174,0.0714,-5.002,0.168,139.96,10,4,0,Happy,english
7dm4124xNhGrXxX2eE0CCP,Mutilated Remains,0.127,5.36E-06,0.991,0.526,0.376,0.0433,-3.288,0.102,147.027,1,4,0,Happy,english
62lfViW3qSDVuXvrroeJAA,Shadow World,0.332,1.19E-06,0.952,0.801,0.345,0.384,-4.563,0.0804,105.235,10,4,4,Disgust,english
0aczJXo71p9tVHXALQKIE9,Ritmons Satanicos,0.248,0.017,0.696,0.000365,0.0893,0.202,-7.028,0.0491,134.722,2,4,5,Fear,english
6Sx7ENjh6WOtoZtWDHNZ1v,Buried in Forgotten Grounds,0.194,1.41E-05,0.943,0.932,0.346,0.0989,-2.965,0.0763,175.21,0,4,4,Disgust,english
4FufIZHtVB3D0nRaChnYBN,Widars Hallen,0.111,0.000164,0.922,0.379,0.309,0.188,-4.363,0.062,169.945,11,4,0,Happy,english
3UdSjH1o3iFddEzh2pBCpM,Thalamus,0.478,2.72E-05,0.585,0.0344,0.112,0.0458,-8.447,0.0354,94.914,2,3,5,Fear,english
5aIjMoNIRhwNychOb2lC7k,A Servant,0.12,4.49E-06,0.906,0.865,0.169,0.134,-4.106,0.0793,148.948,0,4,4,Disgust,english
1RVTajC8zGg23t4Eb1Lrbc,Self-Obsessed,0.492,1.92E-06,0.894,0.198,0.308,0.619,-5.707,0.0407,121.567,5,4,5,Fear,english
5glmepcujdxktDp1mo6uQV,My Heart Bleeds No Longer,0.133,1.83E-05,0.884,0.153,0.333,0.238,-7.043,0.11,81.486,0,4,5,Fear,english
6d62mNVDWHAjynJgEjDGNK,Mental State,0.354,0.000191,0.979,0.288,0.7,0.0908,-4.907,0.139,180.052,4,4,0,Happy,english
4g2XQt5ux2eO95D188I7nB,Crushing the Despised,0.478,0.000788,0.998,0.733,0.132,0.0422,-9.17,0.127,133.503,6,4,4,Disgust,english
6GUHgAqyICXau6QGzY7rx4,Phoenix,0.325,0.00136,0.918,0,0.291,0.254,-4.309,0.129,125.782,5,4,5,Fear,english
1nsmgPBGEqwseR25HqcjK5,Tear Off These Wings,0.218,2.78E-05,0.995,0.536,0.34,0.204,-5.973,0.1,145.233,8,4,0,Happy,english
0nsgyfBlCx8JNbmcxlu9Wu,Through the Shine,0.472,0.00251,0.999,2.69E-05,0.176,0.0905,-1.792,0.137,174.037,7,4,0,Happy,english
0VEyOWSkQ0yiYJiMxzAkS8,Dis moi poupée,0.513,0.0021,0.935,0.0765,0.162,0.606,-2.608,0.0425,115.047,11,4,5,Fear,english
5h5LOXw9vBTqMoPDOHxbar,Deus Misereatur,0.395,0.00108,0.433,0.941,0.0739,0.117,-13.474,0.0316,105.878,0,4,4,Disgust,english
3Hgn2dn7YMLhsJKlH1BOWa,Thermonuclear Warrior,0.224,7.26E-06,0.93,0.0885,0.0351,0.157,-7.238,0.16,177.965,1,4,0,Happy,english
02s0epvuQJZaYi1qSVOZsF,Time's Edge,0.401,2.20E-05,0.987,0.000923,0.3,0.317,-4.069,0.0774,172.044,5,4,0,Happy,english
2W5QW3laDMAfAzRySDfqwp,Muerto en la Cruz,0.379,9.01E-05,0.875,0.678,0.148,0.47,-14.23,0.0583,106.186,10,4,4,Disgust,english
45Rxs3b1V946PWpXj87qXF,Anxiety,0.496,0.000222,0.951,7.05E-06,0.446,0.174,-7.113,0.127,140.076,8,4,5,Fear,english
4obj5sXvj0OJsoSsHjEdNs,The Innocence,0.51,0.000515,0.949,0.000619,0.387,0.173,-7.061,0.114,102.526,5,4,5,Fear,english
06Lx4y1HUL9xi3OyISe7Ao,Denied,0.444,0.000116,0.977,2.41E-05,0.291,0.402,-2.998,0.0859,99.976,0,4,5,Fear,english
5BPt6TIksOE5kpBR9QQO9n,Death Glance,0.369,3.57E-06,0.959,0.905,0.187,0.401,-4.954,0.107,154.752,10,4,4,Disgust,english
0Ov6o6FSQLOlllOm10ESwQ,Raven's Flight,0.484,0.0005,0.996,0.0817,0.382,0.0684,-5.045,0.12,120.041,10,4,5,Fear,english
6NeUmwrvmkIuTO9dh3qOwT,Misery's Crown,0.464,0.000128,0.964,0.205,0.324,0.585,-4.338,0.0603,135.078,6,4,0,Happy,english
2H4pkLd0VQuJxS84xnk6gd,Removed from Consciousness,0.29,2.87E-05,0.883,0.501,0.413,0.143,-5.653,0.0968,100.155,1,4,5,Fear,english
3cDDx7zg7t5jHdXNrD9H7C,Sodomizer,0.322,4.29E-06,0.906,0.604,0.336,0.152,-8.75,0.121,110.498,0,4,4,Disgust,english
06rOxukSVjlayGLatbjU3D,The Emperor,0.434,5.40E-05,0.97,0.708,0.279,0.074,-5.44,0.162,120.026,7,4,4,Disgust,english
6wmt81xEPYc6UkXI2PEstE,Hold On,0.226,0.000919,0.923,0.744,0.377,0.0998,-4.444,0.0694,134.09,2,4,4,Disgust,english
7vDduboyWaeEvzxulUMZaO,Inhumane,0.172,2.62E-06,0.955,0.734,0.296,0.237,-7.113,0.0969,170.256,2,4,4,Disgust,english
2MTneA2YvNBzvd8zDpWE4n,From The Sky,0.221,1.45E-05,0.983,0.0018,0.668,0.0501,-2.821,0.11,174.029,2,3,0,Happy,english
6wjIoA31t39TfV6SoOHlp4,I Belive in Me,0.528,0.000172,0.976,0.656,0.263,0.222,-5.51,0.124,100.001,1,4,4,Disgust,english
6nJw9aueBn7zF2WuLns3Wp,Ordered Eastward,0.216,1.21E-05,0.986,0.329,0.669,0.142,-4.2,0.117,113.09,6,4,5,Fear,english
5XidOoqasC3sPl0XvaAB1t,WEAK WORLD,0.272,6.31E-05,0.923,0.00708,0.33,0.184,-4.468,0.0919,90.029,6,4,5,Fear,english
5aHl4CNLFGll3NnZten9xQ,Wraparound Eyes,0.0948,1.38E-06,0.962,0.905,0.316,0.0952,-5.811,0.122,165.585,7,4,4,Disgust,english
7was7Mxkjj3odhDicumkd6,Limo Vincit Omnia,0.41,1.41E-05,0.935,0.583,0.208,0.0873,-7.113,0.0766,105.045,11,4,4,Disgust,english
6fD8ugOa1yUsW8lGnLFSCZ,308,0.418,1.82E-05,0.954,0.287,0.312,0.185,-5.608,0.104,92.459,1,4,5,Fear,english
2dBTnT6T47pNHeXngkr2Vj,Where Dragons Dwell,0.201,9.72E-06,0.936,0.00759,0.0834,0.125,-2.976,0.0769,89.014,2,4,5,Fear,english
0dppWxO6TJXyWFpICITvqK,Knights in Satan's Service,0.567,8.14E-06,0.919,0.398,0.0529,0.929,-5.413,0.0515,92.556,1,4,2,Neutral,english
121gtK1ltxmuyntxaPQ0H5,7 Deadly Sins,0.531,0.00179,0.921,8.05E-06,0.141,0.187,-13.488,0.0804,115.013,2,4,5,Fear,english
4yI9eqIQRYlxxw1dbQ5pke,Paradoks,0.452,0.00117,0.977,0.0659,0.114,0.445,-6.82,0.0601,93.97,7,4,5,Fear,english
13ORo6nuNhNLniacmJVocI,The Truth Above,0.243,0.00966,0.968,0.952,0.162,0.0792,-5.706,0.135,100.255,1,4,4,Disgust,english
4tFf6fOGHCqv00VDYEKJrT,Cortejo Fúnebre,0.25,2.86E-05,0.863,0.173,0.0823,0.366,-11.353,0.11,157.613,11,4,0,Happy,english
2UbIZiTmozBrmceDdjqqOY,Scourge of Violence,0.38,0.00144,0.967,8.49E-06,0.111,0.103,-3.779,0.1,135.08,1,4,5,Fear,english
0v3WyEt2g04WFpfVwcnfXm,Solitude,0.229,0.000135,0.704,0.000384,0.15,0.179,-4.692,0.0342,74.6,9,4,5,Fear,english
57iwwyZCpRRrg1Szgx80Ep,Malformed Dissonance,0.432,0.000269,0.988,0.707,0.201,0.109,-3.044,0.19,120.007,5,4,4,Disgust,english
0P3En9qPWhO7zfAUHqlkg0,Rajagnaruk,0.493,0.000322,0.994,0.0133,0.0875,0.407,-3.177,0.108,172.067,7,4,0,Happy,english
57QCT8L3kFQiN4AXkBRJxW,The Blazing Monoliths of Defiance,0.169,2.47E-05,0.949,0.000743,0.276,0.112,-6.789,0.101,112.758,4,4,5,Fear,english
1GzwDazWVTlh2GxPiCTAPc,Apocalyptic Hybrid,0.366,1.64E-06,0.97,0.0533,0.415,0.0664,-7.273,0.0836,122.419,2,4,5,Fear,english
5uFU647R2yVxTSvjKk3iSz,The Grand Conjuration,0.279,0.000284,0.889,0.479,0.285,0.0904,-6.164,0.0471,108.689,9,4,5,Fear,english
3uEveqIDu17zTBVJI26WNE,For Life,0.586,2.06E-05,0.987,0.19,0.116,0.19,-2.826,0.206,119.872,4,4,5,Fear,english
5EWMWm8wdNR5d2mnOoCwSM,The Arrival Of The Fimble Winter,0.0884,3.72E-06,0.939,0.844,0.139,0.158,-3.531,0.0847,165.487,8,4,4,Disgust,english
3jSSn9C30ftdgZzKfCxzYU,Circling the Drain,0.415,0.000509,0.964,0.0344,0.484,0.326,-5.549,0.157,178.567,11,4,0,Happy,english
15Fp9Tll3vmaimwaIPgdQi,Troops of Doom,0.344,0.00029,0.982,0.685,0.167,0.0733,-7.031,0.119,121.521,11,4,4,Disgust,english
6Sd9gjIywV5oni8CskPCX4,Future of Sound (feat. Cody B Ware),0.562,0.00313,0.952,0,0.0672,0.57,-2.496,0.352,82.681,0,4,3,Surprised,english
15HTnt9ztNTJG2Ura7VJdQ,Despise the Sun,0.28,7.43E-06,0.929,0.939,0.129,0.115,-7.069,0.17,100.932,11,4,4,Disgust,english
1zc9mfxeNZ6HiSxRzY7JIA,No Tomorrow,0.387,4.83E-06,0.956,0.811,0.384,0.155,-3.923,0.0821,120.11,10,4,4,Disgust,english
4izC2yID6txfr8xXN6xbZQ,They,0.179,0.000316,0.994,0.916,0.0885,0.0398,-5.352,0.191,138.382,8,4,4,Disgust,english
2gVN8sXB7FxbdBvSHaZYHM,Creatures of Habit,0.254,0.0597,0.99,0.93,0.263,0.238,-5.143,0.139,176.089,1,4,4,Disgust,english
6su05Opbkr652VWBI8Vphr,Sorrow Throughout The Nine Worlds,0.086,3.43E-06,0.95,0.938,0.329,0.0658,-3.525,0.0951,85.723,1,4,4,Disgust,english
1ntXEb7Bn6IVtPfGej8caM,When Everything Becomes Nothing,0.235,8.52E-05,0.991,0.932,0.279,0.192,-3.794,0.176,122.894,4,4,4,Disgust,english
0UkDQLM5G6PshSlRUWyiu0,Living Dead,0.293,7.41E-06,0.955,0.829,0.289,0.327,-5.383,0.0594,170.004,10,4,4,Disgust,english
7rlDUeAD7fTu9M3Ng8XMC4,O Matador,0.251,0.0104,0.744,0.839,0.499,0.082,-10.007,0.038,147.955,2,4,4,Disgust,english
5SXom2SWwb8YxyfpUOQUp2,Temptation,0.574,0.000108,0.925,0.0659,0.214,0.593,-5.423,0.0336,135.011,10,4,0,Happy,english
5uh9wvwU20dUHQXo6eAVhG,En Alabama,0.497,6.95E-05,0.919,0.323,0.0565,0.643,-2.693,0.0297,101.984,8,4,5,Fear,english
3P55qh6yd5B6Q19xgxQ4Cq,Arise / Dead Embryonic Cells - Live,0.275,0.00108,0.979,0.0249,0.329,0.24,-5.412,0.0741,129.842,2,4,5,Fear,english
2RyGr2kjQXzMLsjc3ahy3c,Do Lacre ao Lucro,0.256,0.0129,1,0,0.443,0.0674,-1.855,0.245,87.806,1,4,5,Fear,english
4NAIR0YyWdpxMDuEtcujeO,Berkarat,0.288,0.00444,0.889,0.000427,0.193,0.119,-6.648,0.112,102.367,4,4,5,Fear,english
5h1VckqRuk2H4D8v3WPLOF,Perpetua Monstruosidad,0.307,0.0299,0.834,0.0153,0.227,0.393,-9.95,0.0839,81.128,9,4,5,Fear,english
6t1Bmjef4I067PKxd6CRlQ,DEMON(S),0.136,2.18E-06,0.957,0.0892,0.365,0.105,-4.391,0.144,80.773,7,4,5,Fear,english
2bnsTOWLjWLNnWoDyT4S9E,Lost in the Grey,0.437,3.22E-06,0.941,0.000721,0.259,0.265,-5.18,0.0933,165.053,10,4,0,Happy,english
3xuOmbJpeVFsMY7dh0Pc3e,Paramount,0.214,4.73E-05,0.968,0.0699,0.136,0.237,-4.902,0.173,156.293,7,4,0,Happy,english
35qULvfVsRGHE2u4OkNzI0,All Pride No Pain,0.594,0.00017,0.933,0.359,0.264,0.159,-6.072,0.198,108.041,4,4,5,Fear,english
3NHMcWKPWJrBgbrHFtOoXK,Infinite Beauty,0.445,0.00127,0.927,0.297,0.0997,0.0786,-6.536,0.0604,92.997,9,3,5,Fear,english
5fOVDPjgTqKFGK4xmnhCeR,Scorn,0.336,0.000391,0.852,0.513,0.265,0.424,-7.694,0.0762,160.035,0,4,0,Happy,english
0xI5jdGI7vPdYA61zVOY53,Saturnus,0.408,6.69E-06,0.965,0.77,0.253,0.0791,-4.1,0.0778,95.992,1,4,4,Disgust,english
